series,date,sector,value
growth_yoy,2016-01-01,p0,4.45
growth_yoy,2016-01-01,p1,-3.652
growth_yoy,2016-01-01,p2,2.24
growth_yoy,2016-01-01,p3,4.391
growth_yoy,2016-01-01,p4,7.45
growth_yoy,2016-01-01,p5,5.696
growth_yoy,2016-01-01,p6,8.851
growth_yoy,2017-01-01,p0,5.813
growth_yoy,2017-01-01,p1,5.887
growth_yoy,2017-01-01,p2,0.446
growth_yoy,2017-01-01,p3,6.048
growth_yoy,2017-01-01,p4,6.745
growth_yoy,2017-01-01,p5,6.289
growth_yoy,2017-01-01,p6,12.975
growth_yoy,2018-01-01,p0,4.843
growth_yoy,2018-01-01,p1,0.129
growth_yoy,2018-01-01,p2,-2.155
growth_yoy,2018-01-01,p3,4.95
growth_yoy,2018-01-01,p4,4.206
growth_yoy,2018-01-01,p5,6.861
growth_yoy,2018-01-01,p6,-8.464
growth_yoy,2019-01-01,p0,4.413
growth_yoy,2019-01-01,p1,1.943
growth_yoy,2019-01-01,p2,-0.647
growth_yoy,2019-01-01,p3,3.753
growth_yoy,2019-01-01,p4,0.391
growth_yoy,2019-01-01,p5,6.156
growth_yoy,2019-01-01,p6,-2.218
growth_yoy,2020-01-01,p0,-5.457
growth_yoy,2020-01-01,p1,-2.426
growth_yoy,2020-01-01,p2,-9.727
growth_yoy,2020-01-01,p3,-2.743
growth_yoy,2020-01-01,p4,-19.317
growth_yoy,2020-01-01,p5,-5.226
growth_yoy,2020-01-01,p6,-5.149
growth_yoy,2021-01-01,p0,3.315
growth_yoy,2021-01-01,p1,-0.268
growth_yoy,2021-01-01,p2,0.902
growth_yoy,2021-01-01,p3,9.466
growth_yoy,2021-01-01,p4,-5.179
growth_yoy,2021-01-01,p5,2.24
growth_yoy,2021-01-01,p6,1.929
growth_yoy,2022-01-01,p0,8.862
growth_yoy,2022-01-01,p1,1.254
growth_yoy,2022-01-01,p2,3.504
growth_yoy,2022-01-01,p3,8.137
growth_yoy,2022-01-01,p4,5.089
growth_yoy,2022-01-01,p5,11.018
growth_yoy,2022-01-01,p6,7.301
growth_yoy,2023-01-01,p0,3.555
growth_yoy,2023-01-01,p1,0.729
growth_yoy,2023-01-01,p2,0.528
growth_yoy,2023-01-01,p3,0.706
growth_yoy,2023-01-01,p4,6.051
growth_yoy,2023-01-01,p5,5.118
growth_yoy,2023-01-01,p6,9.581
